KC_BSPACE         KC_BACKSPACE
KC_LBRACKET       KC_LEFT_BRACKET
KC_RBRACKET       KC_RIGHT_BRACKET
KC_BSLASH         KC_BACKSLASH
KC_SCOLON         KC_SEMICOLON
KC_CAPSLOCK       KC_CAPS_LOCK
KC_PSCREEN        KC_PRINT_SCREEN
KC_SCROLLLOCK     KC_SCROLL_LOCK
KC_PGDOWN         KC_PAGE_DOWN
KC_NUMLOCK        KC_NUM_LOCK
KC_NONUS_BSLASH   KC_NONUS_BACKSLASH
KC_POWER          KC_KB_POWER
KC__MUTE          KC_KB_MUTE
KC__VOLUP         KC_KB_VOLUME_UP
KC__VOLDOWN       KC_KB_VOLUME_DOWN
KC_LOCKING_CAPS   KC_LOCKING_CAPS_LOCK
KC_LOCKING_NUM    KC_LOCKING_NUM_LOCK
KC_LOCKING_SCROLL KC_LOCKING_SCROLL_LOCK
KC_LANG1          KC_LANGUAGE_1
KC_LANG2          KC_LANGUAGE_2
KC_LANG3          KC_LANGUAGE_3
KC_LANG4          KC_LANGUAGE_4
KC_LANG5          KC_LANGUAGE_5
KC_LANG6          KC_LANGUAGE_6
KC_LANG7          KC_LANGUAGE_7
KC_LANG8          KC_LANGUAGE_8
KC_LANG9          KC_LANGUAGE_9
KC_ALT_ERASE      KC_ALTERNATE_ERASE
KC_SYSREQ         KC_SYSTEM_REQUEST
KC_LCTRL          KC_LEFT_CTRL
KC_LSHIFT         KC_LEFT_SHIFT
KC_RCTRL          KC_RIGHT_CTRL
KC_RSHIFT         KC_RIGHT_SHIFT
KC_ZKHK KC_GRAVE
KC_RO   KC_INTERNATIONAL_1
KC_KANA KC_INTERNATIONAL_2
KC_JYEN KC_INTERNATIONAL_3
KC_HENK KC_INTERNATIONAL_4
KC_MHEN KC_INTERNATIONAL_5
KC_HAEN KC_LANGUAGE_1
KC_HANJ KC_LANGUAGE_2
KC_CLCK KC_CAPS_LOCK
KC_SLCK KC_SCROLL_LOCK
KC_NLCK KC_NUM_LOCK

RESET        QK_BOOTLOADER
DEBUG        QK_DEBUG_TOGGLE
GRAVE_ESC    QK_GRAVE_ESCAPE
EEPROM_RESET QK_CLEAR_EEPROM
KC_GESC QK_GRAVE_ESCAPE
EEP_RST QK_CLEAR_EEPROM

KC_LEAD QK_LEADER
KC_LOCK QK_LOCK

KC_ASUP QK_AUTO_SHIFT_UP
